Item,Category,Type,Price,Date
Coldstone,F,STRSTR,5.56,1/23/2014
Stree,G,STRSTR,1.08,1/23/2014
Stree,G,STRSTR,1.71,1/23/2014
Murphy Pub,F,STRSTR,2.50,1/21/2014
Stree,G,STRSTR,2.17,1/21/2014
O'Reilly Auto Parts,S,STRSTR,6.53,1/20/2014
Sam's Club,G,STRSTR,14.09,1/20/2014
Siena Tavern,F,STRSTR,12.31,1/20/2014
Theatre,S,STRSTR,17.00,1/20/2014
Stree,G,STRSTR,16.86,1/20/2014
Metra,S,STRSTR,11.50,1/20/2014
Pin Bowling Lou,S,STRSTR,11.85,1/17/2014
Pin Bowling Lou,F,STRSTR,5.00,1/17/2014
Sushi Samba Rio,F,STRSTR,41.54,1/17/2014
Crumbs River North,F,STRSTR,2.43,1/17/2014
Panda Express,F,STRSTR,7.50,1/17/2014
Dunkin Donuts,F,STRSTR,3.36,1/16/2014
Crumbs River North,F,STRSTR,2.43,1/16/2014
Potbelly Sandwich Works,F,STRSTR,6.41,1/16/2014
McDonald's,F,STRSTR,3.85,1/15/2014
Naf Naf Grill,F,STRSTR,8.04,1/15/2014
Noodles & Company,F,STRSTR,10.20,1/14/2014
Lou Malnati Pizz,F,STRSTR,3.56,1/13/2014
Starbucks,F,STRSTR,1.47,1/13/2014
Korean Place,F,STRSTR,7.74,1/13/2014
Cosi,F,STRSTR,10.37,1/10/2014
Dunkin Donuts,F,STRSTR,2.27,1/9/2014
Metra,S,STRSTR,57.50,1/9/2014
Bruno's,F,STRSTR,6.18,1/9/2014
Kitche,F,STRSTR,6.54,1/9/2014
McDonald's,F,STRSTR,2.53,1/9/2014
Menard,E,STRSTR,1.62,1/6/2014
Epic Burger,F,STRSTR,10.02,1/6/2014
Crumbs River North,F,STRSTR,2.43,1/6/2014
McDonald's,F,STRSTR,2.53,1/3/2014
Taco Bell,F,STRSTR,4.60,1/3/2014
Dunkin Donuts,F,STRSTR,2.27,1/2/2014
K Kitchen,F,STRSTR,6.06,1/2/2014
Dunkin Donuts,F,STRSTR,2.27,1/2/2014
Jewel,F,STRSTR,5.43,1/2/2014
Metra,S,STRSTR,57.50,12/31/2013
Cosi,F,STRSTR,7.17,12/31/2013
U Il Tuition,S,ONLSTR,41.00,12/31/2013
South Barringto,S,STRSTR,7.63,12/30/2013
AMC,T,STRSTR,21.50,12/27/2013
IHOP,F,STRSTR,14.08,12/26/2013
Mulan,C,ONLSTR,40.32,12/23/2013
Fye,T,ONLSTR,19.61,12/23/2013
Icing D W,C,STRSTR,41.97,12/23/2013
Get Happy Woodfi,F,STRSTR,1.84,12/23/2013
Stree,G,STRSTR,2.60,12/18/2013
Dunkin Donuts,F,STRSTR,2.17,12/18/2013
Starbucks,F,STRSTR,5.00,12/18/2013
Espresso Royale,F,STRSTR,2.84,12/18/2013
Charter Communications,S,ONLONL,30.00,12/17/2013
Panera Bread,F,STRSTR,8.84,12/17/2013
Antonios Pizza N,F,STRSTR,2.15,12/17/2013
Sakanaya,F,STRSTR,30.00,12/17/2013
Stree,G,STRSTR,1.30,12/16/2013
Stree,G,STRSTR,3.87,12/16/2013
Espresso Royale,F,STRSTR,2.73,12/16/2013
Stree,G,STRSTR,6.24,12/13/2013
Stree,G,STRSTR,3.28,12/12/2013
Stree,G,STRSTR,4.54,12/12/2013
Starbucks,F,STRSTR,5.00,12/12/2013
Stree,G,STRSTR,5.10,12/11/2013
Cravings,F,STRSTR,6.00,12/10/2013
Panera Bread,F,STRSTR,4.79,12/10/2013
Dunkin Donuts,F,STRSTR,3.49,12/10/2013
Starbucks,F,STRSTR,5.00,12/9/2013
Chipotle,F,STRSTR,7.27,12/9/2013
Stree,G,STRSTR,1.96,12/9/2013
Antonios Pizza N,F,STRSTR,5.00,12/9/2013
Clybourne,F,STRSTR,1.00,12/9/2013
Clybourne,F,STRSTR,2.00,12/9/2013
Stree,G,STRSTR,0.75,12/9/2013
Clybourne,F,STRSTR,2.00,12/9/2013
Dunkin Donuts,F,STRSTR,2.17,12/9/2013
Stree,G,STRSTR,1.21,12/9/2013
Legend,F,STRSTR,2.00,12/9/2013
Bevande,F,STRSTR,2.08,12/9/2013
Stree,G,STRSTR,3.24,12/6/2013
Dunkin Donuts,F,STRSTR,2.17,12/6/2013
Espresso Royale,F,STRSTR,2.19,12/6/2013
Check 1149,S,ONLSTR,458.00,12/5/2013
Espresso Royale,F,STRSTR,2.46,12/5/2013
Check 1150,S,ONLSTR,458.00,12/5/2013
Stree,G,STRSTR,4.23,12/3/2013
Sam's Club,G,STRSTR,6.09,12/2/2013
Menard,E,STRSTR,24.09,12/2/2013
Starbucks,F,STRSTR,5.00,12/2/2013
Amazon,E,ONLONL,27.91,12/2/2013
Yogurtland,F,STRSTR,7.10,12/2/2013
Sam's Club,F,STRSTR,106.82,11/29/2013
Pizanos Pizza,F,STRSTR,11.11,11/29/2013
Great Clips,S,STRSTR,8.99,11/29/2013
Target,C,STRSTR,5.45,11/29/2013
McDonald's,F,STRSTR,5.52,11/27/2013
McDonald's,F,STRSTR,1.11,11/27/2013
Metra,S,STRSTR,11.50,11/27/2013
McDonald's,F,STRSTR,1.32,11/27/2013
Antonios Pizza N,F,STRSTR,2.50,11/25/2013
Charter Communications,S,ONLONL,55.00,11/25/2013
Bangkok Thai,F,STRSTR,8.65,11/25/2013
Stree,G,STRSTR,4.33,11/22/2013
Espresso Royale,F,STRSTR,2.19,11/22/2013
Stree,G,STRSTR,9.02,11/21/2013
Espresso Royale,F,STRSTR,2.46,11/21/2013
Dunkin Donuts,F,STRSTR,3.49,11/20/2013
Check 1146,S,STRSTR,26.69,11/19/2013
Stree,G,STRSTR,7.02,11/19/2013
