Date,Month,Username,Item,Price,Category,Shoppingtype
3/27/2014,Mar-14,Stavan,DOMINO'S 2921,14.00,F,ONLONL
3/28/2014,Mar-14,Stavan,SUBWAY ,11.72,F,STRSTR
3/28/2014,Mar-14,Stavan,Brother's,45,F,STRSTR
3/30/2014,Mar-14,Stavan,COUNTY MARKET,21.35,G,STRSTR
3/22/2014,Mar-14,Rimi,AGACI,43.06,C,STRSTR
3/22/2014,Mar-14,Rimi,MIAMI NAILS,30.00,S,ONLSTR
3/22/2014,Mar-14,Rimi,PACSUN,21.75,C,ONLSTR
3/22/2014,Mar-14,Rimi,WALMART,127.91,G,STRSTR
3/20/2014,Mar-14,Rimi,NO. 7 SALON AND SPA,55.00,S,ONLSTR
3/19/2014,Mar-14,Rimi,CHARLOTTE RUSSE,10.78,C,STRSTR
3/19/2014,Mar-14,Rimi,PACSUN,21.75,C,ONLSTR
3/19/2014,Mar-14,Rimi,FOREVER 21,15.04,C,STRSTR
3/18/2014,Mar-14,Rimi,PANERA BREAD,6.56,F,STRSTR
3/17/2014,Mar-14,Rimi,COUNTY MARKET,1.85,G,STRSTR
3/16/2014,Mar-14,Rimi,TARGET,58.41,C,ONLONL
3/15/2014,Mar-14,Rimi,SUBWAY,3.87,F,STRSTR
3/14/2014,Mar-14,Rimi,H&M,24.75,C,STRSTR
3/14/2014,Mar-14,Rimi,SHELL OIL,46.16,S,STRSTR
3/14/2014,Mar-14,Rimi,FOREVER 21,50.26,C,STRSTR
3/14/2014,Mar-14,Rimi,SEPHORA,27.32,G,ONLSTR
3/13/2014,Mar-14,Rimi,SUBURBAN EXPRESS,29.95,S,ONLONL
3/12/2014,Mar-14,Rimi,COUNTY MARKET,2.34,G,STRSTR
3/12/2014,Mar-14,Rimi,LEGENDS,18.00,F,STRSTR
3/12/2014,Mar-14,Rimi,COUNTY MARKET,5.47,G,STRSTR
3/12/2014,Mar-14,Rimi,SUBURBAN EXPRESS,29.95,S,ONLONL
